Price,Manufacturer,Model,Mileage,Horse Power,Fuel,Transmission,Fabrication Year,Age,Posting Month,Posting Year,country_of_origin
11000.0,ALFA ROMEO,156,256000.0,6.0,Diesel,Manual,2002.0,22.0,October,2023.0,Italy
47500.0,GEELY,GK-GL,49000.0,6.0,Gasoline,Manual,2022.0,2.0,September,2023.0,China
52000.0,INFINITI,FX,190000.0,20.0,Gasoline,Automatic,2008.0,16.0,September,2023.0,Japan
17500.0,ALFA ROMEO,147,170000.0,7.0,Gasoline,Manual,2002.0,22.0,August,2023.0,Italy
31000.0,ALFA ROMEO,MITO,75000.0,5.0,Gasoline,Manual,2010.0,14.0,June,2023.0,Italy
26000.0,ALFA ROMEO,MITO,179500.0,5.0,Gasoline,Manual,2012.0,12.0,July,2023.0,Italy
50000.0,IVECO,DAILY COMBI,302000.0,10.0,Diesel,Manual,2009.0,15.0,January,2023.0,Italy
17000.0,IVECO,DAILY COMBI,450000.0,11.0,Diesel,Manual,1995.0,29.0,December,2022.0,Italy
37000.0,DS,DS4,140000.0,7.0,Gasoline,Manual,2014.0,10.0,December,2022.0,France
23500.0,ALFA ROMEO,147,270000.0,7.0,Gasoline,Manual,2009.0,15.0,November,2022.0,Italy
25000.0,IVECO,DAILY COMBI,254000.0,8.0,Diesel,Manual,2008.0,16.0,November,2022.0,Italy
33000.0,ALFA ROMEO,MITO,186000.0,6.0,Gasoline,Manual,2010.0,14.0,November,2022.0,Italy
45000.0,DONGFENG,CAPTAIN T,160000.0,10.0,Diesel,Manual,2018.0,6.0,December,2023.0,China
64000.0,FOTON,FORLAND,35000.0,10.0,Diesel,Manual,2016.0,8.0,December,2023.0,China
29500.0,ALFA ROMEO,MITO,213000.0,5.0,Diesel,Manual,2010.0,14.0,December,2023.0,Italy
75000.0,ALFA ROMEO,GIULIETTA,29000.0,7.0,Gasoline,Manual,2019.0,5.0,December,2023.0,Italy
40000.0,DONGFENG,S50,90000.0,6.0,Gasoline,Manual,2019.0,5.0,December,2023.0,China
18900.0,DFSK,K01,69000.0,6.0,Gasoline,Manual,2018.0,6.0,December,2023.0,China
64000.0,ALFA ROMEO,GIULIETTA 1.4 TURBO. 120CV,98500.0,7.0,Gasoline,Manual,2018.0,6.0,December,2023.0,Italy
46000.0,DS,3 PERFORMANCE LINE,120000.0,6.0,Gasoline,Automatic,2020.0,4.0,December,2023.0,France
75000.0,INFINITI,EX35 3.5 L V6,143000.0,20.0,Gasoline,Automatic,2009.0,15.0,December,2023.0,Japan
119000.0,DS,7 CROSSBACK PERFORMANCE LINE,117000.0,10.0,Gasoline,Automatic,2019.0,5.0,December,2023.0,France
66000.0,DONGFENG,SX3,29000.0,8.0,Gasoline,Manual,2022.0,2.0,November,2023.0,China
67700.0,DONGFENG,S50,65000.0,7.0,Gasoline,Automatic,2021.0,3.0,December,2023.0,China
159000.0,ALFA ROMEO,STELVIO 2.0L TURBO-Q4,130000.0,17.0,Gasoline,Automatic,2017.0,7.0,November,2023.0,Italy
108000.0,DS,7 CROSSBACK OPERA,140000.0,10.0,Gasoline,Automatic,2019.0,5.0,December,2023.0,France
32500.0,ALFA ROMEO,MITO,223000.0,7.0,Gasoline,Manual,2009.0,15.0,November,2023.0,Italy
52000.0,INFINITI,FX,190000.0,20.0,Gasoline,Automatic,2008.0,16.0,December,2023.0,Japan
38000.0,VOLVO,C30,145000.0,6.0,Gasoline,Manual,2011.0,13.0,December,2023.0,Sweden
65000.0,INFINITI,FX,165000.0,20.0,Gasoline,Automatic,2009.0,15.0,December,2023.0,Japan
27500.0,ALFA ROMEO,MITO,154000.0,6.0,Gasoline,Manual,2012.0,12.0,December,2023.0,Italy
64500.0,DONGFENG,SX3,81000.0,8.0,Gasoline,Manual,2021.0,3.0,December,2023.0,China
37000.0,DS,4,139000.0,9.0,Gasoline,Automatic,2013.0,11.0,November,2023.0,France
150000.0,VOLVO,XC40,35000.0,8.0,Diesel,Manual,2021.0,3.0,December,2023.0,Sweden
35000.0,GEELY,GC6,49000.0,6.0,Gasoline,Manual,2020.0,4.0,December,2023.0,China
50000.0,DS,5,162000.0,9.0,Gasoline,Automatic,2013.0,11.0,December,2023.0,France
37500.0,DS,3,91000.0,5.0,Gasoline,Manual,2018.0,6.0,December,2023.0,France
165000.0,ALFA ROMEO,STELVIO SPORT,71000.0,17.0,Gasoline,Automatic,2019.0,5.0,December,2023.0,Italy
129000.0,DS,7 CROSSBACK LA PREMIÈRE,84000.0,9.0,Gasoline,Automatic,2019.0,5.0,December,2023.0,France
45000.0,DONGFENG,S50,90000.0,6.0,Gasoline,Manual,2019.0,5.0,December,2023.0,China
65000.0,DONGFENG,SX3,30000.0,7.0,Gasoline,Manual,2021.0,3.0,December,2023.0,China
54000.0,DONGFENG,S50 JOYEER,100000.0,6.0,Gasoline,Automatic,2020.0,4.0,November,2023.0,China
140000.0,DS,7 CROSSBACK 7 OPÉRA,62000.0,10.0,Gasoline,Automatic,2019.0,5.0,December,2023.0,France
35000.0,FOTON,TUNLAND PICK UP,168000.0,9.0,Diesel,Manual,2019.0,5.0,November,2023.0,China
21500.0,DFSK,K01 MINI TRUCK,53000.0,6.0,Gasoline,Manual,2019.0,5.0,December,2023.0,China
44000.0,DONGFENG,S50 1.5 L BVM,44000.0,6.0,Gasoline,Manual,2019.0,5.0,December,2023.0,China
21500.0,DFSK,K01,67000.0,6.0,Gasoline,Manual,2019.0,5.0,December,2023.0,China
140000.0,DS,7 CROSSBACK,102000.0,9.0,Gasoline,Automatic,2019.0,5.0,November,2023.0,France
53000.0,GEELY,GX3 1.5,30000.0,6.0,Gasoline,Manual,2021.0,3.0,December,2023.0,China
43000.0,GEELY,GC6,30000.0,6.0,Gasoline,Manual,2020.0,4.0,December,2023.0,China
42000.0,WALLYSCAR,719 NEUF,2397.0,7.0,Gasoline,Manual,2023.0,1.0,November,2023.0,Tunisia
75000.0,IVECO,DAILY FOURGON,196000.0,16.0,Diesel,Manual,2015.0,9.0,November,2023.0,Italy
38500.0,DS,3,107000.0,5.0,Gasoline,Manual,2016.0,8.0,November,2023.0,France
80000.0,DFSK,GLORY 580,59000.0,8.0,Gasoline,Manual,2022.0,2.0,December,2023.0,China
55000.0,DS,5,105000.0,9.0,Gasoline,Automatic,2016.0,8.0,December,2023.0,France
42000.0,AC,COBRA,160000.0,6.0,Gasoline,Manual,2018.0,6.0,February,2024.0,United Kingdom
50000.0,GEELY,GK-GL,59600.0,6.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
28500.0,ALFA ROMEO,MITO,140000.0,6.0,Gasoline,Manual,2014.0,10.0,February,2024.0,Italy
30000.0,LANCIA,DELTA,190000.0,6.0,Diesel,Manual,2009.0,15.0,February,2024.0,Italy
85000.0,IVECO,DAILY,65000.0,10.0,Diesel,Manual,2019.0,5.0,February,2024.0,Italy
45000.0,GEELY,GK-GL,77500.0,6.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
43000.0,ALFA ROMEO,GIULIETTA,182000.0,9.0,Gasoline,Automatic,2015.0,9.0,February,2024.0,Italy
34000.0,GEELY,GK-GL,70000.0,6.0,Gasoline,Manual,2020.0,4.0,February,2024.0,China
28900.0,ALFA ROMEO,GIULIETTA,245000.0,6.0,Gasoline,Manual,2011.0,13.0,February,2024.0,Italy
42500.0,AC,SEVEN,92000.0,6.0,Gasoline,Manual,2019.0,5.0,February,2024.0,United Kingdom
8000.0,AC,COBRA,0.0,5.0,Gasoline,Automatic,2024.0,0.0,February,2024.0,United Kingdom
33000.0,GEELY,GK-GL,81600.0,6.0,Gasoline,Manual,2019.0,5.0,February,2024.0,China
49500.0,GEELY,GK-GL,60500.0,6.0,Gasoline,Automatic,2021.0,3.0,February,2024.0,China
29999.0,ALFA ROMEO,GIULIETTA,193000.0,6.0,Gasoline,Manual,2012.0,12.0,February,2024.0,Italy
30000.0,INFINITI,FX35,320000.0,20.0,Gasoline,Automatic,2008.0,16.0,February,2024.0,Japan
13000.0,ALFA ROMEO,156,329000.0,7.0,Gasoline,Manual,2001.0,23.0,February,2024.0,Italy
56000.0,GEELY,GK-GL,55600.0,6.0,Gasoline,Automatic,2021.0,3.0,February,2024.0,China
35000.0,LANCIA,YPSILON,61500.0,4.0,Gasoline,Manual,2015.0,9.0,February,2024.0,Italy
63000.0,AC,SEVEN,58000.0,7.0,Gasoline,Automatic,2019.0,5.0,February,2024.0,United Kingdom
38000.0,GEELY,GK-GT,26000.0,6.0,Gasoline,Manual,2022.0,2.0,February,2024.0,China
34000.0,AC,SEVEN,69000.0,5.0,Gasoline,Manual,2017.0,7.0,February,2024.0,United Kingdom
29500.0,ALFA ROMEO,MITO,220000.0,5.0,Gasoline,Manual,2010.0,14.0,February,2024.0,Italy
28500.0,ALFA ROMEO,MITO,230000.0,5.0,Gasoline,Manual,2010.0,14.0,February,2024.0,Italy
37000.0,AC,SEVEN,155000.0,6.0,Gasoline,Manual,2019.0,5.0,February,2024.0,United Kingdom
26000.0,ALFA ROMEO,MITO,195000.0,5.0,Gasoline,Manual,2010.0,14.0,February,2024.0,Italy
49000.0,WALLYSCAR,719,16000.0,7.0,Gasoline,Manual,2023.0,1.0,February,2024.0,Tunisia
33500.0,GEELY,GK-GL,109000.0,6.0,Gasoline,Manual,2019.0,5.0,February,2024.0,China
35000.0,GEELY,GK-GL,52000.0,6.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
43000.0,BYD,F1,79000.0,7.0,Gasoline,Manual,2017.0,7.0,February,2024.0,China
4800.0,AC,SEVEN,100000.0,3.0,Gasoline,Manual,2023.0,1.0,November,2023.0,United Kingdom
28000.0,ALFA ROMEO,159,190000.0,9.0,Diesel,Manual,2009.0,15.0,November,2023.0,Italy
35000.0,GEELY,GK-GL,102000.0,6.0,Gasoline,Manual,2019.0,5.0,November,2023.0,China
9000.0,AC,COBRA,320000.0,10.0,Gasoline,Manual,1997.0,27.0,November,2023.0,United Kingdom
39000.0,IVECO,DAILY,350000.0,8.0,Diesel,Manual,2008.0,16.0,November,2023.0,Italy
32500.0,ALFA ROMEO,MITO,223000.0,7.0,Gasoline,Manual,2009.0,15.0,November,2023.0,Italy
30000.0,INFINITI,FX35,320000.0,20.0,Gasoline,Automatic,2008.0,16.0,November,2023.0,Japan
30000.0,IVECO,DAILY,320000.0,8.0,Diesel,Manual,2007.0,17.0,November,2023.0,Italy
29500.0,ALFA ROMEO,MITO,213000.0,5.0,Diesel,Manual,2010.0,14.0,November,2023.0,Italy
25000.0,ALFA ROMEO,MITO,210000.0,5.0,Gasoline,Manual,2012.0,12.0,November,2023.0,Italy
42000.0,AC,SEVEN,2396.0,7.0,Gasoline,Manual,2023.0,1.0,November,2023.0,United Kingdom
17000.0,INFINITI,FX35,159000.0,17.0,Gasoline,Automatic,2007.0,17.0,November,2023.0,Japan
69000.0,IVECO,DAILY,87000.0,11.0,Diesel,Manual,2016.0,8.0,November,2023.0,Italy
31500.0,GEELY,LC,100000.0,5.0,Gasoline,Manual,2020.0,4.0,November,2023.0,China
33000.0,GEELY,GK-GL,85000.0,5.0,Gasoline,Manual,2019.0,5.0,November,2023.0,China
14000.0,IVECO,DAILY,100000.0,8.0,Diesel,Manual,2009.0,15.0,November,2023.0,Italy
330000.0,IVECO,DAILY,300500.0,10.0,Diesel,Manual,2003.0,21.0,November,2023.0,Italy
12000.0,AC,SEVEN,14000.0,7.0,Gasoline,Manual,2023.0,1.0,November,2023.0,United Kingdom
37000.0,GEELY,GK-GL,71000.0,6.0,Gasoline,Manual,2020.0,4.0,November,2023.0,China
26000.0,ALFA ROMEO,MITO,274000.0,5.0,Gasoline,Manual,2011.0,13.0,November,2023.0,Italy
13000.0,AC,SEVEN,400000.0,5.0,Gasoline,Manual,2023.0,1.0,November,2023.0,United Kingdom
35000.0,IVECO,DAILY,300000.0,8.0,Diesel,Automatic,2006.0,18.0,November,2023.0,Italy
55000.0,IVECO,DAILY,500000.0,8.0,Diesel,Manual,2012.0,12.0,November,2023.0,Italy
33000.0,ALFA ROMEO,MITO,270000.0,6.0,Diesel,Manual,2009.0,15.0,November,2023.0,Italy
46000.0,IVECO,DAILY,260000.0,11.0,Diesel,Manual,2012.0,12.0,November,2023.0,Italy
14000.0,LANCIA,YPSILON,200000.0,8.0,Gasoline,Manual,2000.0,24.0,November,2023.0,Italy
38000.0,VOLVO,C30,145000.0,6.0,Gasoline,Manual,2011.0,13.0,November,2023.0,Sweden
25000.0,IVECO,DAILY,550000.0,10.0,Diesel,Manual,2006.0,18.0,November,2023.0,Italy
48000.0,AC,COBRA,400000.0,10.0,Diesel,Manual,1997.0,27.0,November,2023.0,United Kingdom
40000.0,IVECO,DAILY,354000.0,10.0,Diesel,Manual,2010.0,14.0,November,2023.0,Italy
35000.0,GEELY,GC6,49000.0,6.0,Gasoline,Manual,2020.0,4.0,February,2024.0,China
44000.0,DONGFENG,S50,91000.0,6.0,Gasoline,Manual,2019.0,5.0,February,2024.0,China
75000.0,ALFA ROMEO,GIULIETTA,30000.0,7.0,Gasoline,Manual,2019.0,5.0,February,2024.0,Italy
28500.0,ALFA ROMEO,MITO,213000.0,5.0,Diesel,Manual,2010.0,14.0,February,2024.0,Italy
67660.0,DONGFENG,S50,65000.0,7.0,Gasoline,Automatic,2021.0,3.0,February,2024.0,China
210000.0,DS,7 CROSSBACK PERFORMANCE LINE,1000.0,10.0,Hybrid,Automatic,2023.0,1.0,February,2024.0,France
64000.0,DONGFENG,AX4,31000.0,7.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
182920.0,DONGFENG,T5 EVO,4000.0,9.0,Gasoline,Automatic,2023.0,1.0,February,2024.0,China
46000.0,DS,3 PERFORMANCE LINE,120000.0,6.0,Gasoline,Automatic,2020.0,4.0,February,2024.0,France
32000.0,GEELY,GC6,56000.0,6.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
65000.0,DONGFENG,SX3,32000.0,8.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
88000.0,BYD,SONG,25000.0,9.0,Gasoline,Automatic,2022.0,2.0,February,2024.0,China
55000.0,ALFA ROMEO,MITO,42000.0,5.0,Gasoline,Manual,2019.0,5.0,February,2024.0,Italy
64000.0,FOTON,FORLAND,35000.0,10.0,Diesel,Manual,2016.0,8.0,February,2024.0,China
80000.0,DFSK,GLORY 580,59000.0,8.0,Gasoline,Manual,2022.0,2.0,February,2024.0,China
52000.0,INFINITI,FX,190000.0,20.0,Gasoline,Automatic,2008.0,16.0,February,2024.0,Japan
64500.0,DONGFENG,SX3,81000.0,8.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
46000.0,VOLVO,S60 R DESIGN,170000.0,9.0,Gasoline,Automatic,2012.0,12.0,February,2024.0,Sweden
18900.0,DFSK,K01,69000.0,6.0,Gasoline,Manual,2018.0,6.0,February,2024.0,China
38000.0,WALLYSCAR,IRIS,39000.0,4.0,Gasoline,Manual,2018.0,6.0,February,2024.0,Tunisia
27500.0,ALFA ROMEO,MITO,165000.0,6.0,Gasoline,Manual,2012.0,12.0,February,2024.0,Italy
52000.0,ALFA ROMEO,GIULIETTA,100000.0,7.0,Gasoline,Manual,2018.0,6.0,February,2024.0,Italy
65000.0,DONGFENG,SX3,30000.0,7.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
60000.0,VOLVO,V40,97000.0,10.0,Gasoline,Automatic,2015.0,9.0,January,2024.0,Sweden
54000.0,DONGFENG,S50 JOYEER,100000.0,6.0,Gasoline,Manual,2020.0,4.0,January,2024.0,China
39000.0,GEELY,GC6,130000.0,6.0,Gasoline,Manual,2020.0,4.0,February,2024.0,China
38900.0,DS,3 CHROMATIQUE,68400.0,5.0,Gasoline,Manual,2017.0,7.0,February,2024.0,France
33900.0,DS,3,91000.0,5.0,Gasoline,Manual,2018.0,6.0,January,2024.0,France
49000.0,ALFA ROMEO,GIULIETTA QUADRIFOGLIO,145000.0,9.0,Gasoline,Manual,2012.0,12.0,February,2024.0,Italy
150000.0,ALFA ROMEO,STELVIO SPORT,73000.0,17.0,Gasoline,Automatic,2019.0,5.0,February,2024.0,Italy
43000.0,ALFA ROMEO,GIULIETTA,182000.0,9.0,Gasoline,Automatic,2015.0,9.0,January,2024.0,Italy
38000.0,LADA,NIVA,99000.0,7.0,Gasoline,Manual,2019.0,5.0,March,2023.0,Russia
36000.0,LADA,NIVA,70000.0,7.0,Gasoline,Manual,2018.0,6.0,January,2024.0,Russia
38500.0,LADA,NIVA 4X4,42000.0,7.0,Gasoline,Manual,2019.0,5.0,November,2023.0,Russia
39000.0,LADA,NIVA CLASSIC,25600.0,7.0,Gasoline,Manual,2018.0,6.0,January,2024.0,Russia
34000.0,TATA,TATA XENON SC,160000.0,7.0,Diesel,Manual,2017.0,7.0,November,2023.0,India
31000.0,TATA,XENON X2,64000.0,7.0,Diesel,Manual,2017.0,7.0,February,2024.0,India
34500.0,TATA,XENON X2,70800.0,7.0,Diesel,Manual,2020.0,4.0,February,2024.0,India
38000.0,BAIC,YX KENBO S3,132000.0,7.0,Gasoline,Manual,2018.0,6.0,December,2023.0,China
35000.0,BAIC,YX KENBO S2,117000.0,7.0,Gasoline,Manual,2018.0,6.0,December,2023.0,China
41000.0,BAIC,YX KENBO S3,68000.0,7.0,Gasoline,Manual,2017.0,7.0,November,2023.0,China
36000.0,BAIC,YX KENBO S2,93000.0,7.0,Gasoline,Manual,2018.0,6.0,February,2024.0,China
42800.0,BAIC,YX KENBO S2,51000.0,7.0,Gasoline,Manual,2018.0,6.0,February,2024.0,China
38000.0,BAIC,YX KENBO S2,130000.0,7.0,Gasoline,Manual,2018.0,6.0,February,2024.0,China
96000.0,GREAT WALL,POER,28000.0,11.0,Diesel,Manual,2022.0,2.0,November,2023.0,China
40000.0,GREAT WALL,M4,104500.0,6.0,Gasoline,Manual,2018.0,6.0,November,2023.0,China
110000.0,GREAT WALL,POER,9000.0,11.0,Diesel,Automatic,2022.0,2.0,December,2023.0,China
97000.0,GREAT WALL,POER,9000.0,11.0,Diesel,Manual,2022.0,2.0,February,2024.0,China
49000.0,GREAT WALL,M4,36000.0,6.0,Gasoline,Manual,2021.0,3.0,February,2024.0,China
110000.0,GREAT WALL,POER,9000.0,11.0,Diesel,Automatic,2022.0,2.0,February,2024.0,China
41200.0,GREAT WALL,M4,94000.0,6.0,Gasoline,Manual,2019.0,5.0,February,2024.0,China
38700.0,GREAT WALL,M4,88750.0,6.0,Gasoline,Manual,2017.0,7.0,February,2024.0,China
107000.0,HAVAL,H6,86000.0,8.0,Gasoline,Automatic,2022.0,2.0,December,2023.0,China
89500.0,HAVAL,JOLION,25000.0,9.0,Gasoline,Automatic,2021.0,3.0,December,2023.0,China
91000.0,HAVAL,H6 1.5 T 7-DCT,50000.0,9.0,Gasoline,Automatic,2019.0,5.0,December,2023.0,China
90000.0,HAVAL,H6 TOUTES OPTIONS,65000.0,9.0,Gasoline,Automatic,2017.0,7.0,November,2023.0,China
65000.0,HAVAL,H6,98000.0,9.0,Gasoline,Automatic,2017.0,7.0,December,2023.0,China
90000.0,HAVAL,H6,90000.0,9.0,Gasoline,Manual,2020.0,4.0,December,2023.0,China
80000.0,HAVAL,H6,118000.0,9.0,Gasoline,Automatic,2019.0,5.0,December,2023.0,China
76500.0,HAVAL,H6,135000.0,9.0,Gasoline,Automatic,2019.0,5.0,December,2023.0,China
116000.0,HAVAL,H6,0.0,9.0,Gasoline,Automatic,2022.0,2.0,December,2023.0,China
81000.0,HAVAL,H6,87000.0,9.0,Gasoline,Automatic,2020.0,4.0,December,2023.0,China
52000.0,HAVAL,H2,162000.0,9.0,Gasoline,Automatic,2017.0,7.0,December,2023.0,China
160000.0,HAVAL,H9,30000.0,13.0,Diesel,Automatic,2021.0,3.0,December,2023.0,China
120000.0,HAVAL,H6 LUXURY,15000.0,8.0,Gasoline,Automatic,2022.0,2.0,December,2023.0,China
83000.0,HAVAL,H6,65000.0,9.0,Gasoline,Automatic,2019.0,5.0,November,2023.0,China
90000.0,HAVAL,H6 NOIR,51000.0,9.0,Gasoline,Automatic,2020.0,4.0,November,2023.0,China
85000.0,HAVAL,H6,55000.0,9.0,Gasoline,Automatic,2019.0,5.0,December,2023.0,China
120900.0,HAVAL,H6 V3,13000.0,8.0,Gasoline,Automatic,2022.0,2.0,November,2023.0,China
88000.0,HAVAL,H6,80000.0,9.0,Gasoline,Automatic,2021.0,3.0,November,2023.0,China
